elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.136,22315,62248,62248,1876436,86584,26,28,1229024673,12
1.405,22315,268112,270504,2741712,85112,50,180,1229026192,12
2.68,22315,463964,463964,2788300,84688,50,716,1229027725,12
3.967,22315,464732,467456,2791116,84616,50,762,1229029316,12
