elapsed_s,pid,VmRSS_kB,threads,cgroup,frozen
80.0,7536,502512 kB,62,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
82.323,7536,504276 kB,62,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
84.531,7536,501668 kB,62,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
86.758,7536,505704 kB,62,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
88.976,7536,505300 kB,62,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
91.2,7536,504052 kB,62,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
93.404,7536,506616 kB,62,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
95.625,7536,507084 kB,62,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
97.84,7536,506848 kB,62,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
100.057,7536,508804 kB,62,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
102.296,7536,505736 kB,62,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
104.487,7536,505604 kB,62,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
106.717,7536,507348 kB,62,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
108.943,7536,507908 kB,62,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
111.145,7536,506600 kB,62,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
113.364,7536,507912 kB,62,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
115.584,7536,506980 kB,62,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
117.84,7536,506036 kB,62,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
120.024,7536,505500 kB,62,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
122.171,7536,503136 kB,59,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
124.352,7536,503028 kB,59,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
126.655,7536,500452 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
128.977,7536,505712 kB,63,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
131.171,7536,504576 kB,63,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
133.569,7536,505368 kB,63,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
135.866,7536,507964 kB,65,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
138.056,7536,507488 kB,64,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
140.167,7536,501152 kB,61,5:schedtune:/foreground;4:memory:/;3:cpuset:/foreground;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
142.51,7536,507364 kB,64,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
144.698,7536,505388 kB,64,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
146.88,7536,503768 kB,61,5:schedtune:/foreground;4:memory:/;3:cpuset:/foreground;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
149.184,7536,501960 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
151.452,7536,502852 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
153.867,7536,508580 kB,60,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
156.117,7536,507208 kB,60,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
158.268,7536,505276 kB,57,5:schedtune:/foreground;4:memory:/;3:cpuset:/foreground;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
160.621,7536,332824 kB,53,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
162.863,7536,487192 kB,61,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
165.242,7536,494112 kB,62,5:schedtune:/top-app;4:memory:/;3:cpuset:/top-app;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
167.589,7536,491080 kB,58,5:schedtune:/foreground;4:memory:/;3:cpuset:/foreground;2:cpu:/;1:blkio:/;0::/uid_10254/pid_7536,0
