elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.134,63352,44912,44912,1869572,92276,21,31,3385752089,12
1.43,63352,367612,372220,2477044,84440,50,404,3385753625,12
2.726,63352,380996,381256,2498548,84368,50,815,3385755191,12
