elapsed_s,pid,VmRSS_kB,threads,cgroup,frozen
2.24,472,412700 kB,45,5:net_prio:/;4:memory:/apps/com.amphion.dingqiao.demo;3:cpuset:/top-app;2:cpu:/top-app;1:blkio:/;0::/apps/uid_10631/pid_472,0
4.395,472,1165368 kB,57,5:net_prio:/;4:memory:/apps/com.amphion.dingqiao.demo;3:cpuset:/top-app;2:cpu:/top-app;1:blkio:/;0::/apps/uid_10631/pid_472,0
6.594,472,1168744 kB,59,5:net_prio:/;4:memory:/apps/com.amphion.dingqiao.demo;3:cpuset:/top-app;2:cpu:/top-app;1:blkio:/;0::/apps/uid_10631/pid_472,0
