elapsed_s,pid,VmRSS_kB,threads,cgroup,frozen
2.284,31795,1011884 kB,71,5:net_prio:/;4:memory:/apps/com.amphion.dingqiao.demo;3:cpuset:/top-app;2:cpu:/top-app;1:blkio:/;0::/apps/uid_10631/pid_31795,0
4.48,31795,1019036 kB,71,5:net_prio:/;4:memory:/apps/com.amphion.dingqiao.demo;3:cpuset:/top-app;2:cpu:/top-app;1:blkio:/;0::/apps/uid_10631/pid_31795,0
6.604,31795,1021492 kB,70,5:net_prio:/;4:memory:/apps/com.amphion.dingqiao.demo;3:cpuset:/top-app;2:cpu:/top-app;1:blkio:/;0::/apps/uid_10631/pid_31795,0
